"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"Achievement_Desc_DailyChallengeScoreTier3","Achievement_Desc_DailyChallengeScoreTier3","일일 도전에서 50,000 점 이상 획득.","","False","","",""
"Achievement_Desc_DefeatBigBoss1Early","Achievement_Desc_DefeatBigBoss1Early","다이달로스가 교전 단계에 돌입하기 전에 그를 처치.","","False","","",""
"Achievement_Desc_DefeatBigBoss1VariantEarly","Achievement_Desc_DefeatBigBoss1VariantEarly","탈로스가 교전 단계에 돌입하기 전에 그녀를 처치.","","False","","",""
"Achievement_Desc_DefeatBigBoss2Early","Achievement_Desc_DefeatBigBoss2Early","펠이 교전 단계에 돌입하기 전에 그녀를 처치.","","False","","",""
"Achievement_Desc_DefeatBigBoss2VariantEarly","Achievement_Desc_DefeatBigBoss2VariantEarly","아르커스가 교전 단계에 돌입하기 전에 그를 처치.","","False","","",""
"Achievement_Desc_DefeatBigBoss3Early","Achievement_Desc_DefeatBigBoss3Early","세라프가 교전 단계에 돌입하기 전에 그를 처치.","","False","","",""
"Achievement_Desc_EventHiddenUpgrade","Achievement_Desc_EventHiddenUpgrade","희귀한 꽃을 찾음.","","False","","",""
"Achievement_Desc_EventObtainDante","Achievement_Desc_EventObtainDante","기만자 단테 영입.","","False","","",""
"Achievement_Desc_EventPickpocketChest","Achievement_Desc_EventPickpocketChest","상자의 자물쇠를 땀.","","False","","",""
"Achievement_Desc_FirstLevelUp","Achievement_Desc_FirstLevelUp","한 부족의 레벨을 올림.","","False","","",""
"Achievement_Desc_Level10AllClasses","Achievement_Desc_Level10AllClasses","모든 부족의 최대 레벨 달성.","","False","","",""
"Achievement_Desc_LoseRun","Achievement_Desc_LoseRun","패배함.","","False","","",""
"Achievement_Desc_MakeCustomChallenge","Achievement_Desc_MakeCustomChallenge","사용자 지정 도전을 생성.","","False","","",""
"Achievement_Desc_MonsterDealBigDamage","Achievement_Desc_MonsterDealBigDamage","내 몬스터가 한 방에 60 이상의 피해를 입힘.","","False","","",""
"Achievement_Desc_PlayDailyChallenge","Achievement_Desc_PlayDailyChallenge","일일 도전을 시작함.","","False","","",""
"Achievement_Desc_PlayImpCard","Achievement_Desc_PlayImpCard","임프 카드를 냄.","","False","","",""
"Achievement_Desc_SpellDealBigDamage","Achievement_Desc_SpellDealBigDamage","내 주문이 한 방에 120 이상의 피해를 입힘.","","False","","",""
"Achievement_Desc_UpgradeChampionTwice","Achievement_Desc_UpgradeChampionTwice","챔피언을 두 번 이상 강화함.","","False","","",""
"Achievement_Desc_ViewCredits","Achievement_Desc_ViewCredits","크레딧을 봄.","","False","","",""
"Achievement_Desc_WinRunFewCards","Achievement_Desc_WinRunFewCards","카드를 10장 이하로 가진 상태로 승리.","","False","","",""
"Achievement_Desc_WinRunGooglyEyes","Achievement_Desc_WinRunGooglyEyes","""동그란 눈알""을 활성화하고 승리.","","False","","",""
"Achievement_Desc_WinRunManyCards","Achievement_Desc_WinRunManyCards","카드를 40장 이상으로 가진 상태로 승리.","","False","","",""
"Achievement_Desc_WinRunNoBlessings","Achievement_Desc_WinRunNoBlessings","유물을 얻지 않고 승리.","","False","","",""
"Achievement_Desc_WinRunNoChampion","Achievement_Desc_WinRunNoChampion","챔피언 없이 승리.","","False","","",""
"Achievement_Desc_WinRunZeroCards","Achievement_Desc_WinRunZeroCards","카드가 하나도 없는 상태로 승리.","","False","","",""
"Achievement_Title_AscensionTier1","Achievement_Title_AscensionTier1","천리길도 한 걸음","","False","","",""
"Achievement_Title_AscensionTier2","Achievement_Title_AscensionTier2","실 엉킨 것은 풀어도 노 엉킨 것은 못 푼다","","False","","",""
"Achievement_Title_AscensionTier3","Achievement_Title_AscensionTier3","그 분노처럼 격렬한 것은 지옥에도 없나니","","False","","",""
"Achievement_Title_AscensionTier4","Achievement_Title_AscensionTier4","괴라는 나물","","False","","",""
"Achievement_Title_BeatLevel1Boss","Achievement_Title_BeatLevel1Boss","초기 생존자","","False","","",""
"Achievement_Title_BeatLevel6Boss","Achievement_Title_BeatLevel6Boss","천사 사냥꾼","","False","","",""
"Achievement_Title_BeatLevel8Boss","Achievement_Title_BeatLevel8Boss","패배자 세라프","","False","","",""
"Achievement_Title_BotherShopkeeper","Achievement_Title_BotherShopkeeper","뭐 살거냐고?","","False","","",""
"Achievement_Title_Class1Level10","Achievement_Title_Class1Level10","지옥뿔의 지배","","False","","",""
"Achievement_Title_Class1Level5","Achievement_Title_Class1Level5","뿔 파괴자","","False","","",""
"Achievement_Title_Class1WinAllCovenants","Achievement_Title_Class1WinAllCovenants","지옥뿔 부족","","False","","",""
"Achievement_Title_Class2Level10","Achievement_Title_Class2Level10","온전히 깨어남","","False","","",""
"Achievement_Title_Class2Level5","Achievement_Title_Class2Level5","자각하는 껍데기","","False","","",""
"Achievement_Title_Class2WinAllCovenants","Achievement_Title_Class2WinAllCovenants","깨어난 자들","","False","","",""
"Achievement_Title_Class3Level10","Achievement_Title_Class3Level10","영원히 희미하게","","False","","",""
"Achievement_Title_Class3Level5","Achievement_Title_Class3Level5","대속하는 잔재","","False","","",""
"Achievement_Title_Class3Unlock","Achievement_Title_Class3Unlock","촛불에 이끌려","","False","","",""
"Achievement_Title_Class3WinAllCovenants","Achievement_Title_Class3WinAllCovenants","녹아내린 잔재","","False","","",""
"Achievement_Title_Class4Level10","Achievement_Title_Class4Level10","칠흑의 방패병","","False","","",""
"Achievement_Title_Class4Level5","Achievement_Title_Class4Level5","스틱스 강의 수호자","","False","","",""
"Achievement_Title_Class4Unlock","Achievement_Title_Class4Unlock","심해 속으로","","False","","",""
"Achievement_Title_Class4WinAllCovenants","Achievement_Title_Class4WinAllCovenants","칠흑의 수호자","","False","","",""
"Achievement_Title_Class5Level10","Achievement_Title_Class5Level10","페널티밋","","False","","",""
"Achievement_Title_Class5Level5","Achievement_Title_Class5Level5","부활한 도깨비불","","False","","",""
"Achievement_Title_Class5Unlock","Achievement_Title_Class5Unlock","악마의 자동기계","","False","","",""
"Achievement_Title_Class5WinAllCovenants","Achievement_Title_Class5WinAllCovenants","움브라","","False","","",""
"Achievement_Title_DailyChallengeScoreTier1","Achievement_Title_DailyChallengeScoreTier1","불씨의 수련생","","False","","",""
"Achievement_Title_DailyChallengeScoreTier2","Achievement_Title_DailyChallengeScoreTier2","불씨의 수습생","","False","","",""
"Achievement_Title_DailyChallengeScoreTier3","Achievement_Title_DailyChallengeScoreTier3","불씨의 전문가","","False","","",""
"Achievement_Title_DefeatBigBoss1Early","Achievement_Title_DefeatBigBoss1Early","다이-달로스","","False","","","Pun with the boss name Daedalus and the word Dead."
"Achievement_Title_DefeatBigBoss1VariantEarly","Achievement_Title_DefeatBigBoss1VariantEarly","탈로스가 탈났스","","False","","","Pun with the boss name Talos and ""Ta-ta"" to mean ""goodbye"""
"Achievement_Title_DefeatBigBoss2Early","Achievement_Title_DefeatBigBoss2Early","펠때기","","False","","","Pun with the boss name Fel and the word Lifeless."
"Achievement_Title_DefeatBigBoss2VariantEarly","Achievement_Title_DefeatBigBoss2VariantEarly","아르컷!","","False","","","Pun with the boss name Archus and Apocalypse"
"Achievement_Title_DefeatBigBoss3Early","Achievement_Title_DefeatBigBoss3Early","세라프 아프다","","False","","","Pun with the boss name Seraph and Sans to indicate a lack of Seraph."
"Achievement_Title_EventHiddenUpgrade","Achievement_Title_EventHiddenUpgrade","비밀이에요...","","False","","",""
"Achievement_Title_EventObtainDante","Achievement_Title_EventObtainDante","단테의 신곡: 지옥","","False","","",""
"Achievement_Title_EventPickpocketChest","Achievement_Title_EventPickpocketChest","도둑놈 잡아라!","","False","","",""
"Achievement_Title_FirstLevelUp","Achievement_Title_FirstLevelUp","레벨 업!","","False","","",""
"Achievement_Title_Level10AllClasses","Achievement_Title_Level10AllClasses","불씨의 점화자, 지옥의 구원자","","False","","",""
"Achievement_Title_LoseRun","Achievement_Title_LoseRun","죽었습니다!","","False","","",""
"Achievement_Title_MakeCustomChallenge","Achievement_Title_MakeCustomChallenge","이 게임은 이제 제 겁니다","","False","","",""
"Achievement_Title_MonsterDealBigDamage","Achievement_Title_MonsterDealBigDamage","지옥의 정예병","","False","","",""
"Achievement_Title_PlayDailyChallenge","Achievement_Title_PlayDailyChallenge","그것도 도전이라고","","False","","",""
"Achievement_Title_PlayImpCard","Achievement_Title_PlayImpCard","간단하네요!","","False","","",""
"Achievement_Title_SpellDealBigDamage","Achievement_Title_SpellDealBigDamage","뇌지컬","","False","","",""
"Achievement_Title_UpgradeChampionTwice","Achievement_Title_UpgradeChampionTwice","강화된 챔피언","","False","","",""
"Achievement_Title_ViewCredits","Achievement_Title_ViewCredits","지옥의 창조자들","","False","","",""
"Achievement_Title_WinRunFewCards","Achievement_Title_WinRunFewCards","오합지졸","","False","","",""
"Achievement_Title_WinRunGooglyEyes","Achievement_Title_WinRunGooglyEyes","눈이 휘둥그레","","False","","",""
"Achievement_Title_WinRunManyCards","Achievement_Title_WinRunManyCards","만석 열차","","False","","",""
"Achievement_Title_WinRunNoBlessings","Achievement_Title_WinRunNoBlessings","의지만 있다면야","","False","","",""
"Achievement_Title_WinRunNoChampion","Achievement_Title_WinRunNoChampion","혼자만의 힘으로","","False","","",""
"Achievement_Title_WinRunZeroCards","Achievement_Title_WinRunZeroCards","덱빌딩 101","","False","","",""
"AttackFormat","AttackFormat","{0}[attack]","","False","","","{0}: A number
[attack]: <sprite name=""Attack"">"
"Back","Back","뒤로","","False","","",""
"BattleMusic_Archus_Name","BattleMusic_Archus_Name","Archus, Darkness Incarnate","","False","","",""
"BattleMusic_Bogwurm_Name","BattleMusic_Bogwurm_Name","Lost to the Bogs","","False","","",""
"BattleMusic_Crucible_Name","BattleMusic_Crucible_Name","Simple Machines","","False","","",""
"BattleMusic_Daedalus_Name","BattleMusic_Daedalus_Name","Daedalus, the Professor","","False","","",""
"BattleMusic_FallenLords","BattleMusic_FallenLords","Fallen Lords","","False","","",""
"BattleMusic_Fel_Name","BattleMusic_Fel_Name","Fel, the Wings of Light","","False","","",""
"BattleMusic_FrozenHeart_Name","BattleMusic_FrozenHeart_Name","The Frozen Heart","","False","","",""
"BattleMusic_Limbo","BattleMusic_Limbo","Initial Descent","","False","","",""
"BattleMusic_Original_Name","BattleMusic_Original_Name","Warmongers","","False","","",""
"BattleMusic_Seraph_Name","BattleMusic_Seraph_Name","Seraph the Traitor","","False","","",""
"BattleMusic_StyxSea","BattleMusic_StyxSea","Crossing the Styx","","False","","",""
"BattleMusic_TLD_Name","BattleMusic_TLD_Name","The Last Divinity","","False","","",""
"BattleMusic_Talos_Name","BattleMusic_Talos_Name","Talos, the Architect","","False","","",""
"BattleMusic_WaxenArches_Name","BattleMusic_WaxenArches_Name","Remnant Waltz","","False","","",""
"BattleMusic_Wildwood_Name","BattleMusic_Wildwood_Name","Call of the Wildwood","","False","","",""
"BattlePreviewUI_BodyTooltip","BattlePreviewUI_BodyTooltip","교전 결과를 미리 봅니다. 현재 설정: {0}","","False","","","{0}: ""Normal"", ""Fast"", or ""Ultra"""
"BattlePreviewUI_Disabled","BattlePreviewUI_Disabled","비활성화","","False","","",""
"BattlePreviewUI_Enabled","BattlePreviewUI_Enabled","활성화","","False","","",""
"BattlePreviewUI_TitleTooltip","BattlePreviewUI_TitleTooltip","교전 미리보기","","False","","",""
"BattleProgressWarning","BattleProgressWarning","이 전투의 진행사항은 저장되지 않습니다.","","False","","",""
"Battle_Level1HeavyRage_Description","Battle_Level1HeavyRage_Description","이 공격자들은 처음부터 강력하게 공세를 펼치지만 갈수록 힘이 빠집니다. 그들의 공세를 막고 높은 층에서 상대하면 승산이 있습니다.","","False","","",""
"Battle_Level1HeavyRage_Name","Battle_Level1HeavyRage_Name","공격적인 공세","","False","","",""
"BossTarget_TooltipTitle","BossTarget_TooltipTitle","최종 우두머리: {0}","","False","","","{0}: Name of the boss"
"BossTooltipBody_Armor","BossTooltipBody_Armor","이 우두머리는 당신의 공격을 막을 수 있는 방어도를 가지고 있습니다.","","False","","",""
"BossTooltipTitle_Armor","BossTooltipTitle_Armor","철갑 무장!","","False","","",""
"BuildNumberFormat","BuildNumberFormat","빌드 #{0}","","False","","","{0}: A number"
"BumpError_BossFurnaceRoom","BumpError_BossFurnaceRoom","우두머리를 불씨가 있는 층으로 이동시킬 수 없습니다.","","False","","",""
"BumpError_DestroyedRoom","BumpError_DestroyedRoom","이동할 수 없습니다!","","False","","",""
"BumpError_FullRoom","BumpError_FullRoom","가득 찬 층으로 이동시킬 수 없습니다.","","False","","",""
"BumpError_FurnaceRoom","BumpError_FurnaceRoom","당신의 유닛을 불씨가 있는 층으로 이동시킬 수 없습니다.","","False","","",""
"BumpError_ImmobileCharacter","BumpError_ImmobileCharacter","이동 불가!","","False","","",""
"BumpError_NoRoom","BumpError_NoRoom","유닛이 층에 위치해있지 않습니다.","","False","","",""
"BumpError_SameRoom","BumpError_SameRoom","이동 불가","","False","","",""
"Cancel","Cancel","취소","","False","","",""
"CapacityFormat","CapacityFormat","{0}[capacity]","","False","","","{0}: A number
[capacity]: <sprite name=""Capacity"">"
"Capacity_TooltipText","Capacity_TooltipText","유닛은 층에 충분한 공간이 있어야 소환할 수 있습니다.","","False","","",""
"Capacity_TooltipTitle","Capacity_TooltipTitle","[capacity] 공간","","False","","","[capacity]: <sprite name=""Capacity"">"
"CardData_data-01500c4fb4e26ac4-83a72f78f0338a1479b0ef1f09e80eb1-v2","CardData_data-01500c4fb4e26ac4-83a72f78f0338a1479b0ef1f09e80eb1-v2","세 명의 신성, 네 명의 정령 티탄, 그리고 두 명의 심판. 이 세계를 지배하던 아홉 신들이었다. 이제 신성은 깨져버리고 단 한 명만 남았다. 이 자는 최후의 순간에 세상을 통합해 줄 것인가? 티탄이 티탄에 맞서서? 그저 꿈에 불과할 수도 있지만, 철길도 한때 그런 꿈에 지나지 않았다.","","False","","","(Group: 'CardData_RecruitEnemy')"
"CardData_data-015829b73c747021-0a834323f4800f8428a973cbcda158e9-v2","CardData_data-015829b73c747021-0a834323f4800f8428a973cbcda158e9-v2","난 움브라가 더 깊은 바위 속을 굴착할 수 있도록, 그들을 위해 대못을 만들어 주었다. 이 하얗게 달궈진 대못은 먹꾼들이 파고 들어갈 수 없는 곳을 뚫을 수 있을 것이다.","","False","","","(Group: 'CardData_AnnihilateRoomDamage2')"
"CardData_data-03555e9aa6db01a2-6929f03e76aaf154385771a538fffe2c-v2","CardData_data-03555e9aa6db01a2-6929f03e76aaf154385771a538fffe2c-v2","저주받을 신들! 전부 가져가라! 이 기억, 이 권능, 이 회한! 난 원하지 않는다. 이미 잊어버렸고 내 평온을 위해서라면 기꺼이 또 잊을 것이다. 영원한 노역으로 충분히 속죄하지 않았는가? 언제까지 고통받아야 하는 것인가!","","False","","","(Group: 'CardData_BrokenMemories')"
"CardData_data-03acdb035040efef-f79325421a37bf943959e7b145081fbe-v2","CardData_data-03acdb035040efef-f79325421a37bf943959e7b145081fbe-v2","언젠가 깨달은 자가 내게 야생숲의 기원에 대해 말해준 적이 있다. 불씨 조각들이 땅이 흩뿌려졌을 때, 초자연적인 힘이 그 토양에 스며들어 야생숲을 이루었다고. 지금도 동일한 방법을 사용하면 약하지만 비슷한 효과를 낼 수 있다.","","False","","","(Group: 'CardData_PyreGro')"
"CardData_data-041d4c2c69662612-6b25d89acab7bd4458460d4d3020995f-v2","CardData_data-041d4c2c69662612-6b25d89acab7bd4458460d4d3020995f-v2","본셰이커 내부의 모든 길이 탁 트인 것은 아니다. 내가 대부분의 샛길을 틀어막았지만 어떤 이들은 기어코 강철을 찢어 비집고 들어가곤 했다.","","False","","","(Group: 'CardData_HiddenPassage')"
"CardData_data-065155aecede7d1e-09758e7ac6f943948a70eacaa04d01f4-v2","CardData_data-065155aecede7d1e-09758e7ac6f943948a70eacaa04d01f4-v2","경악스럽게도 움브라는 본셰이커의 용광로에서 뿜어져 나오는 열기를 견딜 수 있었다. 그들은 그 힘과 교감하고, 열차의 에너지를 갈취하여 자신들의 목적에 맞게 이용하곤 했다.","","False","","","(Group: 'CardData_FurnaceTap')"
"CardData_data-067fe5812e42fe8b-cb7f8f1805d4cd4449185ec893355baa-v2","CardData_data-067fe5812e42fe8b-cb7f8f1805d4cd4449185ec893355baa-v2","의례에 따라, 그들은 패배한 상대의 뿔을 부숴 자신의 우월함을 표현했다. 승자는 부서진 뿔을 전리품으로 수집했다.","","False","","","(Group: 'CardData_HornBreak')"
"CardData_data-06c1ea8faf9e9cf8-eab2c81fbabe4e747b14588954a82f05-v2","CardData_data-06c1ea8faf9e9cf8-eab2c81fbabe4e747b14588954a82f05-v2","고룡혈족은 그들 주변의 세상이 죽어가는 와중에도 티탄의 지식을 수집하며 은둔했다. 자신들이 지식과 평화의 부족임을 표방하지만, 그들의 삶의 방식은 정말이지 말로 표현하기 힘든, 지독한 진실을 숨기고 있다. 메아리수정은 영혼을 필요로 한다. 하지만 자기들의 비밀을 유지하는 데 혈안이 된 자들인만큼, 자신의 영혼을 기꺼이 바치려고 하는 자원자는 드물다. 그 수많은 메아리수정이 살아 숨쉬려면 얼마나 끔찍하게 많은 영혼이 동원됐을까? 하지만 난 더 이상 이런 일에 가치판단을 하지 않으려 한다. 그런 시절은 지났다.","","False","","","(Group: 'CardData_SoulCripple')"
"CardData_data-06c24fd03791f931-b390699688205b043a16fd9156b363c1-v2","CardData_data-06c24fd03791f931-b390699688205b043a16fd9156b363c1-v2","고룡혈족은 늪벌레의 유해로 만들어진 터널을 성지로 여긴다. 그들은 터널의 구조적 안정성을 해치지 않기 위해 거의 손을 대지 않았고, 비좁은 공간을 전혀 넓히려 하지 않았다. 그 터널이 붕괴해 잊혀진 동굴을 드러냈을 때, 그곳에 생긴 새로운 보금자리와 메아리수정을 보고 고룡혈족이 얼마나 기뻐했을지 상상하기 어렵지 않다.","","False","","","(Group: 'CardData_UnearthedRemains')"
"CardData_data-082b3f408fb01c03-6db967eaf43e05a4cb25cbaa640d7dda-v2","CardData_data-082b3f408fb01c03-6db967eaf43e05a4cb25cbaa640d7dda-v2","먹깨비들은 광산을 순찰하며 딴 짓하는 먹꾼들을 잡아먹어 안개로 되돌린다. 임무를 매우 즐겁게 여기다보니 지나치게 많은 먹꾼들을 먹어치울 때도 있다.","","False","","","(Group: 'CardData_Feast')"
"CardData_data-0b8c964c2a59382d-25030a572163ea543ab21badb74f68a7-v2","CardData_data-0b8c964c2a59382d-25030a572163ea543ab21badb74f68a7-v2","비록 먹꾼들이 광부 일을 빠릿빠릿하게 한다지만, 별로 똑똑한 편은 아니라서 불필요한 사고를 일으키곤 했다. 열차에서는 그러한 일이 없기를 빈다.","","False","","","(Group: 'CardData_MineCollapse')"
"CardData_data-0c80e6a10774f8ee-36a045372c769384cbdc8090464740fa-v2","CardData_data-0c80e6a10774f8ee-36a045372c769384cbdc8090464740fa-v2","난 얼마 남지 않은 지옥뿔 부족의 석학들과 함께, 본셰이커가 스스로 모양을 바꾸어 무한히 기울어진 경사로를 만들도록 설계했다. 날개달린 자들은 원한다면 그 길을 올라야 할 것이다.","","False","","","(Group: 'CardData_TiresomeClimb')"
"CardData_data-0ca22537907b49e8-988ad6229efa52249934a22734415a26-v2","CardData_data-0ca22537907b49e8-988ad6229efa52249934a22734415a26-v2","변재가 강렬한 전류에 노출되면 유리처럼 결정화된다. 그 안에 있던 수액은 응집된 회복액의 형태로 보존된다. 하지만 난 수액을 크게 잃지 않으면서 결정을 깨트릴 방법을 찾지 못했다.","","False","","","(Group: 'CardData_Glimmer')"
"CardData_data-0d08279b14cc0e75-1dad3a901de1e434fbeda1d96d66b243-v2","CardData_data-0d08279b14cc0e75-1dad3a901de1e434fbeda1d96d66b243-v2","야생숲의 나무수액을 마시면 그들의 생식 포자에 내재된 회복력이 전해진다. 그 꽃향내 나는 달콤함도 즐길 거리 중 하나다.","","False","","","(Group: 'CardData_RegenPotion')"
"CardData_data-0eab8ef429216a5f-286a918682a569143bd2afa48c0cec9a-v2","CardData_data-0eab8ef429216a5f-286a918682a569143bd2afa48c0cec9a-v2","그 시절의 죄책감과 후회를 버리려고 그렇게 애를 썼건만, 그 망령은 되돌아왔고, 그와 함께 우리가 왜 만났는지도 기억났다. 이에 고룡혈족은 내가 수정을 건드리며 심신을 안정시킬 수 있도록, 그들의 돌무덤 사이에 자리를 내 주었다. 큰 도움은 안 되었다. 새로운 발견을 할 때마다 다른 기억이 악몽으로 돌아왔다.","","False","","","(Group: 'CardData_BoundingEchoes')"
"CardData_data-10f315427d82be47-8197c93d465e52749b322e1b4aa3503e-v2","CardData_data-10f315427d82be47-8197c93d465e52749b322e1b4aa3503e-v2","이 곳을 발견한 건 메아리수정이 영혼을 갈망하는 현상 덕분이었다. 그들의 갈망은 지하로 이끌린 영혼을 넘어 지상까지 마수를 뻗쳤고, 기꺼이 늪벌레의 유해를 떠돌 자들의 영혼을 직접 빨아들이기 시작했다.","","False","","","(Group: 'CardData_ForcedContamination')"
"CardData_data-12848beb62d8aaf4-936c2015becd56e42a804cd2f7533c2c-v2","CardData_data-12848beb62d8aaf4-936c2015becd56e42a804cd2f7533c2c-v2","야생숲의 덩굴은 모아둔 에너지를 축적하고 예상치 못한 가뭄이 들이닥칠 때 사용한다. 이 에너지가 방출되면 새로운 생명과 권능이 덩굴에 쇄도한다.","","False","","","(Group: 'CardData_UnleashTheWildwood')"
"CardData_data-1294053a9a6f737c-9a04d7ad84d2eb045b12d424615fd059-v2","CardData_data-1294053a9a6f737c-9a04d7ad84d2eb045b12d424615fd059-v2","지옥의 야생숲은 그 우거진 가지 아래에 너무 오랫동안 서성이던 자들을 가둬버린다. 인정하긴 싫지만 나도 저 살아있는 나무들이 여간 무서운 게 아니다.","","False","","","(Group: 'CardData_Ensnare')"
"CardData_data-12d38371dc555b10-aaeeaf72d5e646440889d74125d943ce-v2","CardData_data-12d38371dc555b10-aaeeaf72d5e646440889d74125d943ce-v2","도가니의 최전방 방어선에 있는 먹꾼들은 침입자들을 향해 스스로를 발사해 격퇴하곤 한다. 이 과정에서 그들이 희생당하는 경우가 잦지만, 방어에 성공한다면 그들도 살아남아 광물을 캘 수 있을 것이다.","","False","","","(Group: 'CardData_AntumbraAssault')"
"CardData_data-133570319df1ff17-08b4cd2e3d143754095e47b4da964836-v2","CardData_data-133570319df1ff17-08b4cd2e3d143754095e47b4da964836-v2","밀랍인들은 기억 속에 영원히 살아남는다. 우리가 함께 개발한 공정을 통해, 그들의 얼굴은 치명적인 무기에 조각되어 그들이 생전에 어땠고 어떻게 될 지 일깨워주는 역할을 한다.","","False","","","(Group: 'CardData_MementoMori')"
"CardData_data-147b36044cde475c-19e3971abc1f11249ac8fded65a3fa32-v2","CardData_data-147b36044cde475c-19e3971abc1f11249ac8fded65a3fa32-v2","독실한 자들의 입장에서는, 고통은 죄악에 대한 궁극의 회개 수단이다. 우리 입장에서 보면, 고통은 왜 평화를 되찾아야 하는지 상기시켜줄 뿐이다.","","False","","","(Group: 'CardData_ScourgeT3')"
"CardData_data-1570f65e37601f60-ca50179d40ecb3542ad98babeba262fb-v2","CardData_data-1570f65e37601f60-ca50179d40ecb3542ad98babeba262fb-v2","""임프는 뿔을 크게 키우는 데 목숨을 건다. 악마는 뿔을 날카롭게 하는 데 목숨을 건다."" -외뿔의 그르르그가 저술한 지옥의 뿔에서 발췌, 지옥뿔 부족민의 삶의 순환과 그들의 뿔이 어떻게 성장하는가에 관하여.","","False","","","(Group: 'CardData_ImpOlate')"
"CardData_data-17856855e88f2397-2738bdc40aa6e1945ae7f59b8c3d95ae-v2","CardData_data-17856855e88f2397-2738bdc40aa6e1945ae7f59b8c3d95ae-v2","난 철길장이들과 함께 서로 맞물리는 형태의 방패를 제작했다. 이 방패를 낀 지옥뿔 부족은 이동식 공성추 그 자체나 다름없었다.","","False","","","(Group: 'CardData_BatteringRam')"
"CardData_data-1884515776f68d10-13d2fc4da8b510146b390968e888b048-v2","CardData_data-1884515776f68d10-13d2fc4da8b510146b390968e888b048-v2","안개의 움브라는 도가니의 깊은 곳까지 채굴하면서 지표면에 더 많은 환기구를 만들었고, 이 환기구 덕분에 지하의 잿불은 더욱 맹렬하게 타올랐다. 이러한 원리를 본셰이커에 적용해보니 짧은 시간동안 연비를 크게 올릴 수 있었다.","","False","","","(Group: 'CardData_GainXEnergy')"
